"search-number","evaluation","evals-requested-so-far","scale-down-pop*","town*","free-space*","always-search*","tie-houses-to-religion*","data-source*","threshold-sd*","ethnicity*","religion*","measure*","threshold-mean*","color-axis-max*","turnover*","beta-eth*","beta-rel*","neighbor-weight*","others-ignore-ethn*","stop-tick*","always-move*","ethn-rel-recommendations*","dissimilarity-religion*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","51","130","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","""-941542191""","1.1865113411849453","1.1865113411849453","1.1865113411849453","0","1.1865113411849453"
"1","52","130","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","""1268210284""","-0.6273230222030627","-0.6273230222030627","-0.6273230222030627","0","-0.6273230222030627"
"1","53","130","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","""-599760157""","0.7901499353999958","0.7901499353999958","0.7901499353999958","0","0.7901499353999958"
"1","54","130","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","""-1348759799""","0.10518757919931342","0.10518757919931342","0.10518757919931342","0","0.10518757919931342"
"1","55","130","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","""609440150""","2.80624904264399","2.80624904264399","2.80624904264399","0","2.80624904264399"
"1","56","130","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","""-2027013024""","0.7609227260459575","0.7609227260459575","0.7609227260459575","0","0.7609227260459575"
"1","57","130","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","""1479525431""","-1.6037555357979778","-1.6037555357979778","-1.6037555357979778","0","-1.6037555357979778"
"1","58","130","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","""-2132418549""","127.00190342826494","127.00190342826494","127.00190342826494","0","127.00190342826494"
"1","59","130","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","""1993662170""","-0.08392964020633664","-0.08392964020633664","-0.08392964020633664","0","-0.08392964020633664"
"1","60","130","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","""-1351134011""","-0.0822282726492684","-0.0822282726492684","-0.0822282726492684","0","-0.0822282726492684"
